iter	RMSE
0	5.314501043
1	5.283970611
2	5.253893205
3	5.224756935
4	5.196567938
5	5.169674225
6	5.143969563
7	5.118528365
8	5.093981383
9	5.0700703
10	5.047180953
11	5.025014673
12	5.003376848
13	4.982508657
14	4.962262506
15	4.942729755
16	4.923357964
17	4.904840075
18	4.886660835
19	4.869203178
20	4.851867332
21	4.835581606
22	4.819022509
23	4.803318566
24	4.787816149
25	4.772865773
26	4.758555994
27	4.744610101
28	4.731240464
29	4.718106297
30	4.70516647
31	4.692739626
32	4.680369818
33	4.668828264
34	4.657999172
35	4.64748975
36	4.636718146
37	4.626138692
38	4.616312908
39	4.606208602
40	4.596600446
41	4.58754703
42	4.578522814
43	4.569528428
44	4.561034074
45	4.55252256
46	4.544079392
47	4.536011132
48	4.527918251
49	4.519878578
50	4.51258691
51	4.505205461
52	4.498251768
53	4.491460519
54	4.48451883
55	4.47823791
56	4.472118119
57	4.465640022
58	4.459704175
59	4.453683029
60	4.447711807
61	4.441867811
62	4.436410546
63	4.430880454
64	4.425537516
65	4.420099797
66	4.414841795
67	4.409864739
68	4.404793536
69	4.400089554
70	4.395403942
71	4.39081785
72	4.386169593
73	4.381718329
74	4.377552458
75	4.373213538
76	4.369243748
77	4.365200762
78	4.361161913
79	4.357335741
80	4.353460758
81	4.349846292
82	4.345920047
83	4.342113843
84	4.338627601
85	4.334867594
86	4.331327761
87	4.327756173
88	4.324393009
89	4.320895495
90	4.317659939
91	4.314548776
92	4.311438408
93	4.308410244
94	4.305309687
95	4.302443413
96	4.29968769
97	4.296849428
98	4.294075208
99	4.291223691
100	4.288463646
101	4.285952247
102	4.283207535
103	4.280668415
104	4.278053996
105	4.275776034
106	4.273243166
107	4.270658133
108	4.268415294
109	4.266070534
110	4.263703025
111	4.261440917
112	4.259359337
113	4.257082868
114	4.254922879
115	4.252947756
116	4.250972485
117	4.24885288
118	4.246836658
119	4.244920624
120	4.243026593
121	4.240994646
122	4.239228359
123	4.237347793
124	4.235493618
125	4.233451908
126	4.231680396
127	4.229890036
128	4.228235271
129	4.226619714
130	4.224948377
131	4.223373115
132	4.221926298
133	4.220500082
134	4.218985051
135	4.217308618
136	4.215646444
137	4.21406287
138	4.212572953
139	4.2111229
140	4.209733677
141	4.208443215
142	4.206966723
143	4.205641777
144	4.204316079
145	4.202829815
146	4.201482808
147	4.200254271
148	4.199094021
149	4.197912156
150	4.196814523
151	4.19559891
152	4.194461578
153	4.193369427
154	4.192213526
155	4.191085085
156	4.19003623
157	4.189018265
158	4.187900691
159	4.186739372
160	4.185732406
161	4.184705168
162	4.183549454
163	4.182587255
