iter	Passed	Remaining
0	178	177949
1	214	106917
2	253	84185
3	291	72611
4	329	65639
5	367	60886
6	406	57729
7	444	55098
8	486	53521
9	525	51981
10	562	50567
11	600	49451
12	637	48363
13	679	47884
14	715	46964
15	751	46234
16	791	45795
17	832	45438
18	878	45358
19	918	45017
20	954	44497
21	992	44099
22	1025	43574
23	1066	43367
24	1103	43022
25	1141	42752
26	1182	42602
27	1221	42395
28	1258	42135
29	1298	41989
30	1338	41853
31	1375	41613
32	1415	41473
33	1452	41255
34	1490	41100
35	1526	40868
36	1564	40710
37	1602	40562
38	1643	40503
39	1682	40371
40	1719	40208
41	1756	40072
42	1795	39955
43	1835	39871
44	1875	39802
45	1917	39776
46	1954	39627
47	1995	39571
48	2034	39478
49	2073	39399
50	2108	39238
51	2146	39130
52	2184	39026
53	2217	38845
54	2251	38688
55	2286	38542
56	2321	38407
57	2359	38320
58	2398	38254
59	2436	38171
60	2475	38110
61	2517	38085
62	2552	37961
63	2592	37914
64	2628	37815
65	2670	37784
66	2709	37730
67	2747	37658
68	2786	37595
69	2826	37554
70	2863	37467
71	2899	37369
72	2934	37261
73	2971	37183
74	3008	37108
75	3046	37040
76	3082	36952
77	3118	36858
78	3161	36861
79	3197	36776
80	3232	36674
81	3265	36560
82	3299	36449
83	3337	36395
84	3376	36348
85	3410	36247
86	3448	36192
87	3485	36122
88	3524	36077
89	3560	36005
90	3599	35957
91	3640	35932
92	3680	35891
93	3717	35830
94	3760	35821
95	3801	35799
96	3843	35779
97	3882	35735
98	3921	35687
99	3957	35616
100	3994	35552
101	4028	35466
102	4067	35426
103	4108	35398
104	4142	35312
105	4180	35258
106	4216	35192
107	4250	35106
108	4289	35065
109	4326	35005
110	4365	34962
111	4405	34929
112	4441	34861
113	4481	34826
114	4517	34768
115	4560	34754
116	4593	34666
117	4627	34585
118	4662	34520
119	4698	34455
120	4732	34382
121	4772	34344
122	4813	34320
123	4851	34272
124	4889	34227
125	4926	34172
126	4963	34118
127	5003	34082
128	5037	34015
129	5074	33959
130	5107	33878
131	5140	33799
132	5173	33726
133	5205	33641
134	5239	33573
135	5276	33524
136	5309	33448
137	5344	33383
138	5378	33314
139	5416	33271
140	5450	33207
141	5484	33140
142	5521	33088
143	5556	33031
144	5588	32950
145	5620	32878
146	5656	32825
147	5688	32748
148	5723	32686
149	5755	32613
150	5788	32548
151	5821	32478
152	5856	32419
153	5889	32353
154	5924	32295
155	5957	32232
156	5992	32177
157	6029	32132
158	6068	32098
159	6104	32047
160	6138	31989
161	6171	31925
162	6208	31881
163	6239	31807
164	6272	31740
165	6306	31686
166	6346	31656
167	6379	31595
168	6418	31558
169	6452	31501
170	6487	31449
171	6521	31394
172	6556	31341
173	6590	31286
174	6624	31227
175	6658	31174
176	6690	31107
177	6727	31068
178	6767	31037
179	6801	30982
180	6836	30933
181	6873	30891
182	6907	30837
183	6941	30784
184	6979	30747
185	7014	30695
186	7048	30643
187	7079	30575
188	7115	30531
189	7150	30483
190	7184	30432
191	7220	30387
192	7254	30331
193	7288	30280
194	7325	30239
195	7363	30204
196	7477	30477
197	7570	30663
198	7633	30724
199	7699	30797
200	7748	30800
201	7793	30787
202	7836	30765
203	7878	30742
204	7923	30728
205	7970	30720
206	8017	30712
207	8059	30688
208	8100	30659
209	8145	30640
210	8182	30597
211	8219	30553
212	8264	30535
213	8302	30494
214	8349	30485
215	8395	30472
216	8435	30438
217	8478	30414
218	8518	30379
219	8559	30346
220	8600	30315
221	8645	30299
222	8688	30274
223	8731	30249
224	8777	30233
225	8825	30226
226	8877	30229
227	8928	30230
228	8982	30241
229	9033	30241
230	9081	30231
231	9132	30232
232	9178	30213
233	9221	30187
234	9260	30146
235	9300	30107
236	9345	30086
237	9382	30038
238	9424	30007
239	9470	29989
240	9515	29967
241	9549	29911
242	9586	29863
243	9626	29825
244	9679	29828
245	9715	29777
246	9756	29744
247	9794	29700
248	9829	29645
249	9863	29589
250	9895	29530
251	9929	29474
252	9963	29416
253	9999	29368
254	10033	29312
255	10067	29259
256	10101	29204
257	10136	29152
258	10171	29101
259	10206	29047
260	10242	29001
261	10279	28956
262	10316	28911
263	10348	28850
264	10381	28793
265	10415	28741
266	10449	28687
267	10482	28630
268	10512	28567
269	10550	28524
270	10582	28468
271	10619	28422
272	10653	28370
273	10687	28316
274	10723	28269
275	10758	28220
276	10790	28164
277	10823	28109
278	10858	28061
279	10893	28011
280	10928	27963
281	10968	27927
282	11004	27880
283	11038	27830
284	11071	27775
285	11105	27724
286	11149	27699
287	11184	27650
288	11216	27594
289	11247	27538
290	11283	27490
291	11320	27448
292	11356	27403
293	11390	27353
294	11424	27302
295	11458	27253
296	11491	27201
297	11524	27147
298	11558	27098
299	11596	27058
300	11631	27010
301	11663	26956
302	11697	26908
303	11732	26862
304	11766	26812
305	11800	26763
306	11835	26716
307	11868	26664
308	11901	26615
309	11936	26567
310	11970	26519
311	12000	26463
312	12035	26417
313	12070	26371
314	12107	26329
315	12140	26278
316	12173	26228
317	12205	26177
318	12242	26135
319	12276	26087
320	12313	26046
321	12344	25993
322	12379	25947
323	12413	25900
324	12449	25855
325	12482	25807
326	12517	25762
327	12554	25721
328	12590	25677
329	12627	25638
330	12663	25593
331	12698	25549
332	12733	25504
333	12768	25460
334	12801	25412
335	12836	25367
336	12871	25323
337	12905	25275
338	12943	25237
339	12981	25198
340	13015	25152
341	13049	25106
342	13084	25063
343	13118	25016
344	13153	24972
345	13189	24930
346	13221	24881
347	13252	24829
348	13288	24786
349	13325	24747
350	13356	24696
351	13388	24646
352	13421	24599
353	13456	24555
354	13487	24505
355	13519	24456
356	13555	24414
357	13590	24372
358	13624	24326
359	13660	24284
360	13692	24236
361	13722	24184
362	13752	24134
363	13787	24089
364	13824	24050
365	13857	24004
366	13891	23959
367	13927	23918
368	13961	23875
369	14000	23838
370	14034	23793
371	14068	23750
372	14103	23707
373	14138	23664
374	14173	23622
375	14207	23578
376	14242	23536
377	14275	23491
378	14311	23449
379	14344	23403
380	14378	23361
381	14411	23315
382	14445	23271
383	14487	23240
384	14522	23198
385	14556	23154
386	14587	23106
387	14623	23065
388	14657	23022
389	14691	22979
390	14725	22935
391	14761	22895
392	14795	22851
393	14828	22807
394	14862	22763
395	14904	22732
396	14965	22730
397	15004	22694
398	15039	22654
399	15075	22613
400	15110	22571
401	15144	22528
402	15177	22483
403	15211	22440
404	15243	22394
405	15278	22353
406	15313	22311
407	15348	22270
408	15387	22234
409	15426	22199
410	15461	22158
411	15493	22111
412	15528	22071
413	15560	22025
414	15593	21980
415	15628	21939
416	15660	21895
417	15694	21852
418	15728	21809
419	15762	21767
420	15796	21725
421	15836	21690
422	15869	21646
423	15903	21604
424	15940	21566
425	15975	21525
426	16007	21481
427	16041	21438
428	16074	21395
429	16106	21350
430	16138	21305
431	16172	21264
432	16210	21226
433	16243	21184
434	16276	21141
435	16310	21099
436	16344	21057
437	16380	21018
438	16416	20979
439	16449	20935
440	16482	20893
441	16517	20852
442	16550	20809
443	16582	20766
444	16618	20725
445	16655	20688
446	16686	20643
447	16722	20604
448	16756	20563
449	16788	20519
450	16828	20484
451	16860	20441
452	16899	20406
453	16934	20366
454	16966	20322
455	17000	20281
456	17034	20240
457	17070	20200
458	17114	20171
459	17157	20141
460	17196	20105
461	17232	20066
462	17267	20027
463	17303	19988
464	17339	19949
465	17376	19912
466	17413	19874
467	17451	19838
468	17488	19800
469	17536	19775
470	17584	19750
471	17631	19723
472	17672	19690
473	17721	19665
474	17755	19624
475	17787	19581
476	17822	19540
477	17852	19495
478	17882	19450
479	17917	19410
480	17954	19373
481	17989	19332
482	18022	19291
483	18060	19254
484	18091	19210
485	18127	19171
486	18162	19131
487	18200	19095
488	18235	19056
489	18269	19014
490	18305	18976
491	18338	18935
492	18372	18894
493	18415	18862
494	18451	18824
495	18486	18784
496	18526	18749
497	18560	18709
498	18597	18671
499	18629	18629
500	18662	18588
501	18695	18546
502	18729	18505
503	18763	18465
504	18795	18423
505	18847	18400
506	18921	18399
507	18968	18370
508	19008	18335
